Id,LotArea,Street,Utilities,Neighborhood,Condition1,Condition2,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,YrSold,SaleType,SaleCondition
1547,6360,Pave,AllPub,BrkSide,Feedr,Norm,1Fam,5,6,1942,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,Rec,360,LwQ,159,316,835,GasA,TA,Y,FuseA,955,498,1453,0,0,1,1,3,1,7,Min2,2010,WD,Normal
1548,6000,Pave,AllPub,BrkSide,Norm,Norm,1Fam,6,7,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,480,780,GasA,TA,Y,SBrkr,780,636,1416,0,0,1,1,3,1,6,Typ,2010,WD,Normal
1549,6240,Pave,AllPub,BrkSide,Norm,Norm,1Fam,5,7,1936,1980,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,Fa,No,Rec,276,Unf,0,252,528,GasA,Gd,Y,SBrkr,548,492,1040,0,0,1,0,2,1,5,Typ,2010,WD,Normal
1550,6240,Pave,AllPub,BrkSide,Norm,Norm,1Fam,5,5,1930,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,LwQ,448,Unf,0,480,928,GasA,TA,Y,FuseF,928,608,1536,0,0,2,0,4,1,7,Typ,2010,WD,Normal
1551,6120,Pave,AllPub,OldTown,Artery,Norm,1Fam,6,5,1923,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Fa,Fa,No,ALQ,960,Unf,0,164,1124,GasA,TA,Y,SBrkr,1068,0,1068,1,0,1,0,2,1,5,Typ,2010,WD,Normal
1552,8094,Pave,AllPub,OldTown,Norm,Norm,1Fam,4,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,888,888,GasA,Ex,Y,SBrkr,888,1074,1962,0,0,1,1,4,1,9,Typ,2010,WD,Normal
1553,12900,Pave,AllPub,OldTown,Norm,Norm,1Fam,6,8,1912,2009,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,PConc,TA,TA,No,Unf,0,Unf,0,780,780,GasA,Ex,Y,SBrkr,780,780,1560,0,0,1,1,3,1,7,Typ,2010,WD,Normal
1554,3068,Pave,AllPub,OldTown,Norm,Norm,1Fam,6,8,1920,1993,Gable,CompShg,VinylSd,VinylSd,TA,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,662,662,GasA,Ex,Y,SBrkr,662,662,1324,0,1,1,0,3,1,6,Typ,2010,WD,Normal
1555,15263,Pave,AllPub,ClearCr,Feedr,Norm,1Fam,5,5,1959,1959,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,No,Rec,766,Unf,0,656,1422,GasA,Gd,Y,SBrkr,1675,0,1675,0,0,2,0,3,1,8,Typ,2010,WD,Normal
1556,10632,Pave,AllPub,ClearCr,Norm,Norm,1Fam,5,3,1917,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Gd,Fa,No,Unf,0,Unf,0,689,689,GasA,Gd,N,SBrkr,725,499,1224,0,0,1,1,3,1,6,Mod,2010,COD,Normal
1557,9900,Pave,AllPub,SWISU,Norm,Norm,2fmCon,5,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Shng,Fa,Fa,BrkTil,TA,TA,No,Rec,1026,Unf,0,186,1212,GasA,TA,N,SBrkr,1212,180,1392,1,0,1,0,3,1,6,Typ,2010,ConLD,Normal
1558,6001,Pave,AllPub,SWISU,Norm,Norm,1Fam,6,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,Fa,TA,No,LwQ,368,Unf,0,232,600,GasA,Ex,N,SBrkr,600,319,919,0,0,1,0,3,1,5,Typ,2010,WD,Normal
1559,6449,Pave,AllPub,SWISU,Norm,Norm,1Fam,4,1,1907,1950,Gambrel,CompShg,Wd Sdng,Stucco,TA,TA,CBlock,TA,TA,No,Rec,73,Unf,0,634,707,GasW,TA,N,SBrkr,942,942,1884,0,0,1,1,4,1,7,Typ,2010,WD,Abnorml
